201702:201704;022017;1;2;001;1;2017139440220;1;B;1-17
201702:201704;022017;1;2;001;1;2017139440220;2;E;1-17
201702:201704;022017;1;2;001;1;2017139440220;3;C;1-17
201702:201704;022017;1;2;001;1;2017139440220;4;E;1-17
201702:201704;022017;1;2;001;1;2017139440220;5;D;1-45
201702:201704;022017;1;2;001;1;2017139440220;6;B;1-63
201702:201704;022017;1;2;001;1;2017139440220;7;D;1-63
201702:201704;022017;1;2;001;1;2017139440220;8;E;1-63
201702:201704;022017;1;2;001;1;2017139440220;9;B;1-39
201702:201704;022017;1;2;001;1;2017139440220;10;A;1-46
201702:201704;022017;1;2;001;1;2017139440220;11;B;2-17
201702:201704;022017;1;2;001;1;2017139440220;12;Z;0-0
201702:201704;022017;1;2;001;1;2017139440220;13;D;2-17
201702:201704;022017;1;2;001;1;2017139440220;14;C;2-17
201702:201704;022017;1;2;001;1;2017139440220;15;D;2-17
201702:201704;022017;1;2;001;1;2017139440220;16;B;3-17
201702:201704;022017;1;2;001;1;2017139440220;17;C;3-17
201702:201704;022017;1;2;001;1;2017139440220;18;A;3-17
201702:201704;022017;1;2;001;1;2017139440220;19;C;3-17
201702:201704;022017;1;2;001;1;2017139440220;20;E;3-17
201702:201704;022017;1;2;001;1;2017139440220;21;D;4-47
201702:201704;022017;1;2;001;1;2017139440220;22;D;4-47
201702:201704;022017;1;2;001;1;2017139440220;23;B;4-65
201702:201704;022017;1;2;001;1;2017139440220;24;B;4-65
201702:201704;022017;1;2;001;1;2017139440220;25;E;4-65
201702:201704;022017;1;2;001;1;2017139440220;26;D;5-50
201702:201704;022017;1;2;001;1;2017139440220;27;A;5-62
201702:201704;022017;1;2;001;1;2017139440220;28;E;5-62
201702:201704;022017;1;2;001;1;2017139440220;29;D;5-62
201702:201704;022017;1;2;001;1;2017139440220;30;E;5-54
201702:201704;022017;1;2;001;1;2017139440220;31;A;6-61
201702:201704;022017;1;2;001;1;2017139440220;32;D;6-64
201702:201704;022017;1;2;001;1;2017139440220;33;D;6-60
201702:201704;022017;1;2;001;1;2017139440220;34;D;6-64
201702:201704;022017;1;2;001;1;2017139440220;35;C;6-64
201702:201704;022017;1;2;001;1;2017139440220;36;B;7-57
201702:201704;022017;1;2;001;1;2017139440220;37;E;7-57
201702:201704;022017;1;2;001;1;2017139440220;38;D;7-57
201702:201704;022017;1;2;001;1;2017139440220;39;C;7-57
201702:201704;022017;1;2;001;1;2017139440220;40;A;7-57
201702:201704;022017;1;2;001;1;2017139440220;41;C;8-52
201702:201704;022017;1;2;001;1;2017139440220;42;A;8-51
201702:201704;022017;1;2;001;1;2017139440220;43;C;8-51
201702:201704;022017;1;2;001;1;2017139440220;44;D;8-52
201702:201704;022017;1;2;001;1;2017139440220;45;C;8-52
201702:201704;022017;1;2;001;1;2017139440220;46;A;8-51
201702:201704;022017;1;2;001;1;2017139440220;47;E;8-52
201702:201704;022017;1;2;001;1;2017139440220;48;A;8-51
201702:201704;022017;1;2;001;1;2017139440220;49;B;8-51
201702:201704;022017;1;2;001;1;2017139440220;50;D;8-51
201702:201704;022017;1;2;001;1;2017139440220;51;E;9-53
201702:201704;022017;1;2;001;1;2017139440220;52;A;9-53
201702:201704;022017;1;2;001;1;2017139440220;53;E;9-53
201702:201704;022017;1;2;001;1;2017139440220;54;B;9-53
201702:201704;022017;1;2;001;1;2017139440220;55;A;9-53
201702:201704;022017;1;2;001;1;2017139440220;56;E;10-59
201702:201704;022017;1;2;001;1;2017139440220;57;D;10-58
201702:201704;022017;1;2;001;1;2017139440220;58;D;10-49
201702:201704;022017;1;2;001;1;2017139440220;59;A;10-49
201702:201704;022017;1;2;001;1;2017139440220;60;E;10-56
201702:201704;022017;1;2;001;1;2017139440220;61;C;11-55
201702:201704;022017;1;2;001;1;2017139440220;62;E;11-55
201702:201704;022017;1;2;001;1;2017139440220;63;A;11-55
201702:201704;022017;1;2;001;1;2017139440220;64;C;11-48
201702:201704;022017;1;2;001;1;2017139440220;65;B;11-48
